Course ID,Eff Date,Offer Nbr,Institution,Acad Group,Subject,Catalog,Approved,Campus,Sch Print,Cat Print,Print,Acad Org,Career,Split Ownr,Term Roll,Rq Group,CIP Code,HEGIS Code,Blind Grd,From ItemTyp,Bus Unit,Ledger,Account,DeptID,Project,Prod,Fund,Program,Class,Affl,Operating Unit,Alt. Account,Budget Ref,Chartfield1,Chartfield2,Chartfield3,Fund Affil,Oper Unit Affil,Bus Unit,Ledger,Account,DeptID,Project,Prod,Fund,Program,Class,Affl,Operating Unit,Alt. Account,Budget Ref,Chartfield1,Chartfield2,Chartfield3,Fund Affil,Oper Unit Affil,Ext Wrtoff,Required,Group,Schedule Course,Dynamic Data,Allow OEE Enrl,OEE Dynamic Dt,Typically Offer,Exam Only,Created By,Created,By,Updated
210058,1/1/58,1,USBNY,ADMIN,HBY,   1YY,A,WEST,N,N,N,ADMINISTR,UGRD,N,N,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,N,,N,,,N,,,,
210059,1/1/58,1,USBNY,ADMIN,HHP,   1YY,A,WEST,N,N,N,ADMINISTR,UGRD,N,N,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,N,,N,,,N,,,,
100524,12/31/01,1,USBNY,CAS,LIN, 370,A,WEST,N,N,Y,LINGUISTIC,UGRD,N,Y,,23.0601,15.05,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,Y,,N,,,N,,,,
211022,1/1/58,1,USBNY,ADMIN,CLG,   1XX,A,WEST,N,N,N,ADMINISTR,UGRD,N,N,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,N,,N,,,N,,,,
211023,1/1/58,1,USBNY,ADMIN,CLP,   1XX,A,WEST,N,N,N,ADMINISTR,UGRD,N,N,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,N,,N,,,N,,,,
211024,1/1/58,1,USBNY,ADMIN,CLS,   1XX,A,WEST,N,N,N,ADMINISTR,UGRD,N,N,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,N,,N,,,N,,,,
211125,1/1/58,1,USBNY,ADMIN,SOC,   1XX,A,WEST,N,N,N,ADMINISTR,UGRD,N,N,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,N,,N,,,N,,,,
211126,1/1/58,1,USBNY,ADMIN,SPN,   1XX,A,WEST,N,N,N,ADMINISTR,UGRD,N,N,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,N,,N,,,N,,,,
211127,1/1/58,1,USBNY,ADMIN,SSI,   1XX,A,WEST,N,N,N,ADMINISTR,UGRD,N,N,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,N,,N,,,N,,,,
211206,1/1/58,1,USBNY,ADMIN,JDH, 200TRI,A,WEST,N,N,N,HISTORY,UGRD,N,N,,,15.03,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,N,,Y,,,N,,,,
