Rq Group,Eff Date,Key,Line,Line Type,Min Units,Min Course,Rqs Typ,Rqrmnt,Cond Code,Operator,Value,Institution,Acad Group,Subject,Catalog,Ptrn Type,Course ID,Trnsfr Lvl,Test Crdt,Othr Crdt,In GPA crs,Excl In-Progrss,Min Points,Min Units,Incl Equiv,Valid Beg,Valid End,Term,Assoc,Topic ID,Designation,Conn,Parenth,Test ID,Component,Score,Max Age,Select Method,Rpt Descr,Description
000163,1/1/58,0002,0020,COND,0.00,0.00,,,PL,EQ,RLSBA,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
000164,1/1/58,0001,0010,COND,0.00,0.00,,,PL,EQ,RLS2MAJ,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,(,,,0.00,0,,,
000164,1/1/58,0002,0020,COND,0.00,0.00,,,PL,EQ,RLSBA,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,),,,0.00,0,,,
000164,1/1/58,0003,0030,COND,0.00,0.00,,,LVL,EQ,U4,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,AND,,,,0.00,0,,,
000165,1/1/58,0001,0010,COND,0.00,0.00,,,PL,EQ,RLS2MAJ,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
000165,1/1/58,0002,0020,COND,0.00,0.00,,,PL,EQ,RLSBA,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
000165,1/1/58,0003,0030,COND,0.00,0.00,,,PL,EQ,RLSMINOR,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
000166,1/1/58,0001,0010,COND,0.00,0.00,,,PL,EQ,RLSMINOR,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
000167,1/1/58,0001,0010,COND,0.00,0.00,,,PL,EQ,RUS2MAJ,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,,,,,0.00,0,,,
000167,1/1/58,0002,0020,COND,0.00,0.00,,,PL,EQ,RUS2TP,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
000167,1/1/58,0003,0030,COND,0.00,0.00,,,PL,EQ,RUSBA,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
000167,1/1/58,0004,0040,COND,0.00,0.00,,,PL,EQ,RUSBATP,USBNY,,,,,,ALL,Y,Y,N,N,0.00,0.00,,,,,0,0,,OR,,,,0.00,0,,,
